"Deliver package to green circle on minimap", "Paket zum grünen Kreis auf der Karte bringen"
"Get the package, white star on minimap", "Hol dir das Paket, markiert durch den weißen Stern auf der Karte"
"Defend the package carrier", "Verteidige den Paketträger"
"Stop the package carrier, flashing star on minimap", "Stoppe den Paketträger, markiert durch den blinkenden Stern auf der Karte"
"Hop in, I'll give you a ride", "Spring rein, ich nehm dich mit"
"I need a ride", "Ich brauche eine Mitfahrgelegenheit"
"Launch Missile #1", "Rakete # 1 starten"
"Launch Missile #2", "Rakete # 2 starten"
"Launch Missile #3", "Rakete # 3 starten"
"Defend Missile #1", "Verteidige Rakete # 1"
"Defend Missile #2", "Verteidige Rakete # 2"
"Defend Missile #3", "Verteidige Rakete # 3"
"Defend the package carrier (flashing green/white star on the map)", "Verteidige den Paketträger (blinkender grün-weißer Stern auf der Karte)"
"Package carrier deliver the package to the drop off point (green circle on map)", "Paketträger bringe das Paket an den Ablage-Punkt (grüner Kreis auf der Karte)"
"Drop the package I'll carry it", "Lass das Paket fallen, ich trage es"
"Pickup the package (white star on the mini-map)", "Heb das Paket auf (weißer Stern auf der Minikarte)"
"Kill the enemy carrying the package (flashing red/yellow star on the mini-map)", "Töte den Feind, der das Paket trägt (blinkender rot / gelber Stern auf der Minikarte)"
"Enemy on top of mountain", "Feind auf Berg"
"Group up to help each other", "Gruppiert euch, für gegenseitige Unterstützung"
"Enemy on top of buildings", "Feind auf Gebäude"
"Enemy close", "Feind nah"
"Taking enemy fire", "Werde beschossen"
"Kill the enemy helicopter", "Schalte den feindlichen Hubschrauber aus"
"Kill the enemy vehicle", "Schalte das feindliche Fahrzeug aus"
"Death Match", "Death Match"
"Capture Flags", "Flaggen erobern"
"Package Drop", "Paket Lieferung"
"Missile Launch", "Raketenstart"
"Team", "Team"
"CLICK HERE TO SELECT MISSILE LAUNCH", "KLICKE HIER UM DEN SPIELMODUS RAKETENSTART AUSZUWÄHLEN"
"CLICK HERE TO SELECT PACKAGE DROP", "KLICKE HIER UM DEN SPIELMODUS PAKET-LIEFERUNG AUSZUWÄHLEN"
"CLICK HERE TO SELECT DEATH MATCH", "KLICKE HIER UM DEN SPIELMODUS DEATH MATCH AUSZUWÄHLEN"
"NEXT GAME MODE VOTE", "ÜBER NÄCHSTEN SPIELMODUS ABSTIMMEN"
"CLICK HERE TO SELECT TEAM DEATH MATCH", "KLICKE HIER UM TEAM DEATH MATCH AUSZUWÄHLEN"
"Team Death Match", "Team Death Match"
"Server will restart at end of round", "Der Server wird am Ende der Runde neu gestartet"
"Bomb Disposal", "Bombenentschärfung"
"MISSILE LAUNCH / BOMB DISPOSAL", "RAKETENSTART / BOMBEN ENTSORGUNG"
"PACKAGE DROP", "PAKETTROPFEN"
"TEAM DEATH MATCH", "TEAM-DEATH-MATCH"
"Bomb Diffusal Starts In", "Bombenentschärfung beginnt in"
"Disarm Bombs!", "Entschärfe Bomben!"
"Stop enemy team!", "Stoppe das feindliche Team!"
"Bombs Disarmed", "Bomben entschärft"
"DISARM BOMBS", "BOMBEN ENTSCHÄRFEN"
"HOLD F TO DISARM", "Halte F zum Deaktivieren gedrückt"
"STOP ENEMY TEAM", "STOPE DAS GEGNERISCHE TEAM"
"STOP PEOPLE DISARMING BOMBS", "HALTE DIE GEGNER AUF, DIE DIE BOMBEN ENTSCHÄRFEN"
"YELLOW = BEING DISARMED", "GELB = WIRD ENTSCHÄRFT"
"RED = DISARMED", "ROT = ENTSCHÄRFT"
"GREEN = ARMED", "GRÜN = SCHARF"
"Hold F to Disarm Bomb", "Halte F gedrückt, um die Bombe zu entschärfen"
"Move", "Bewegung"
"Fire", "Feuer"
"Zoom", "Zoomen"
"Look", "Aussehen"
"Weapon 1", "Waffe 1"
"Weapon 2", "Waffe 2"
"Crouch", "Hocken"
"Reload", "Neu laden"
"Jump", "Springen"
"Pistol Death Match Starts In", "Pistol Death Match beginnt in"
"Pistol Death Match", "Pistol Death Match"
"NEXT MAP VOTE", "NÄCHSTE KARTE WÄHLEN"
"BOMB DISPOSAL", "BOMBENENTSCHÄRFUNG"
"PISTOL DEATH MATCH", "PISTOL TOD MATCH"
"MISSILE LAUNCH", "RAKETENSTART"
"Disarm Bomb #1", "Bombe # 1 entschärfen"
"Disarm Bomb #2", "Bombe # 2 entschärfen"
"Disarm Bomb #3", "Bombe # 2 entschärfen"
"Defend Bomb #1", "Bombe # 1 verteidigen"
"Defend Bomb #2", "Bombe # 2 verteidigen"
"Defend Bomb #3", "Bombe # 3 verteidigen"
"DESERT", "WÜSTE"
"NORTHWEST", "NORDWEST"
"PACIFIC", "PAZIFIK"
"OFFICE", "BÜRO"
"FLOODED", "ÜBERSCHWEMMT"
"Blood Overlay", "Blutüberlagerung"
"NEXT MAP", "NÄCHSTE KARTE"
"Knife", "Messer"
"Parachute", "Fallschirm"
"Hold Breath", "Den Atem anhalten"
"Server will restart in", "Der Server wird neu gestartet in"
"Please rejoin when this happens.", "Bitte nochmal beitreten, wenn dies passiert."
"Heli Mini Gun", "Heli Mini Gun"
"Tank Mini Gun", "Tank Mini Gun"
"Socket Test", "Socket Test"
"Exit Vehicle", "Fahrzeug verlassen"
"Drop Package", "Paket fallen lassen"
"Default Spawn", "Standard Spawn"
"Click on green area to parachute in on that spot", "In den grünen Bereich klicken, um an dieser Stelle mit dem Fallschirm abzuspringen"
"E Brake", "E Bremse"
"TEMPLE", "TEMPEL"
"Blood", "Blut"
"Drop Flare", "Flare fallenlassen"
"LOCKED", "GESPERRT"
"Press ENTER or Left Shift...", "Drücke ENTER oder die Linke Umschalttaste ..."
"Deliver package", "Paket liefern"
"Get the package", "Hol dir das Paket"
"Stop the package carrier", "Stoppt den Paketträger"
"Revolver", "Revolver"
"Minigun", "Minigun"
"Deliver the package to green circle", "Bringe das Paket zum grünen Kreis"
"Pickup the package", "Hol das Paket ab"
"Kill the enemy carrying the package", "Töte den Gegner, der das Paket trägt"
"Choose a longer nick", "Wähle einen längeren Nicknamen"
"Error! Nick already in use!", "Fehler! Nickname wird schon benutzt!"
"Set your unique nick", "Wähle einen einzigartigen Nicknamen"
"Bored of your current unique nick?  Buy a different one!", "Gelangweilt von deinem aktuellen Nicknamen? Kaufe einen anderen!"
"Make sure no one can steal your nick. Lock in your nick!", "Stelle sicher, dass niemand deinen Nicknamen benutzen kann. Wähle ihn jetzt!"
"To view your full stats, please sign in using Google, Facebook, VK, Twitch or Steam.", "Um deine vollständige Statistik anzuzeigen, melde dich mit Google, Facebook, VK, Twitch oder Steam an."
"Login", "Anmeldung"
"ERROR", "FEHLER"
"Please refresh your browser window", "Bitte aktualisiere dein Browserfenster"
"Please restart the app", "Bitte starte die App neu"
"Players Online", "Spieler online"
"Unable to connect", "Verbindung konnte nicht hergestellt werden"
"Use SSL", "Verwende SSL"
"Choose a Unique Nick", "Wähle einen einzigartigen Nicknamen"
"Please choose a nickname to identify yourself.  Once you choose a nickname, it cannot be changed unless you purchase a new one.", "Bitte wähle einen Spitznamen, um dich zu identifizieren. Sobald du einen Nicknamen gewählt hast, kann er nicht geändert werden, es sei denn, du kaufst einen Neuen."
"Quick Help", "Schnelle Hilfe"
"PLAYER", "SPIELER"
"STATS", "STATISTIKEN"
"View Full Stats", "Vollständige Statistiken anzeigen"
"STORE", "GESCHÄFT"
"Redeem Code...", "Code einlösen..."
"Grenade Launcher", "Granatwerfer"
"Smoke Grenade", "Rauchgranate"
"Tank", "Panzer"
"Heli", "Heli"
"Heli Minigun", "Heli Minigun"
"Tank Minigun", "Panzer Minigun"
"OK", "OK"
"Cancel", "Abbrechen"
"HELP", "HILFE"
"SETTINGS", "EINSTELLUNGEN"
"Connect to a server to go on missions...", "Verbinde dich mit einem Server um Missionen abzuschließen ..."
"Close", "Schließen"
"Buy Now", "KAUFE JETZT"
"BUY NOW ON", "JETZT KAUFEN AUF"
"20% off during launch week (Ends April 25th)", "20% Rabatt während der Startwoche (endet am 25. April)"
"Includes 5000 Coins", "Enthält 5000 Münzen"
"Unique nick with color", "Eindeutiger farbiger Nickname"
"2-5 times better frame rate than the browser version", "2-5 mal bessere Bildrate als in der Browserversion"
"Stereo sound", "Stereo sound"
"Runs on PC, OSX, and Linux", "Läuft auf PC, OSX und Linux"
"Special Hazmat outfit only available with Steam purchase", "Spezielles Hazmat-Outfit ist nur bei Steam erhältlich"
"Play Free", "Spiele kostenlos"
"Steam version features:", "Steam Version Features:"
"Includes 2,500 Coins", "Enthält 2.500 Münzen"
"PLAY FREE ON", "KOSTENLOS spielen"
"BROWSER", "BROWSER"
"Vsync", "Vsync"
"Reticule Color", "Fadenkreuzfarbe"
"Please join a new server", "Bitte trete einem neuen Server bei"
"Server is full, try another one", "Dieser Server ist voll, versuche einen anderen"
"Connection dropped, unable to restore it", "Die Verbindung wurde getrennt und konnte nicht wiederhergestellt werden"
"Join the WarBrokers Discord server", "Trete dem WarBrokers Discord Server bei."
"Ask the devs questions, get help,", "Stelle den Entwicklern Fragen und erhalte Hilfe,"
"talk with other players, and", "tausche dich mit anderen Spielern aus und"
"get a heads up on new features before", "informiere dich über neue Funktionen"
"they are released to everyone else.", "bevor sie veröffentlicht werden."
"Battle Royale", "Battle Royale"
"Join the WarBrokers Discord server.  Ask the devs questions, get help, talk with other players, and get a heads up on new features before they are released to everyone else.", "Tritt dem War Brokers Discord Server bei. Stelle den Entwicklern Fragen, hole dir Hilfe, sprich mit anderen Spielern und informieren dich über neue Funktionen, bevor sie veröffentlicht werden."
"ESCAPE", "FLUCHT"
"SOUTHWEST", "SÜDWESTEN"
"Press Key For: ", "Drücke die Taste um:"
"Reset all keys", "Alle Tastenbelegungen zurücksetzen"
"Forward", "Nach vorne"
"Back", "Zurück"
"Left", "Links"
"Right", "Recht"
"to Enter Vehicle", "um in das Fahrzeug einzusteigen"
"to Pickup Package", "um Paket aufzunehmen"
"to Change View", "um Sicht zu ändern"
"Menu", "Menü"
"Move Forward", "Vorwärts gehen"
"Move Back", "Rückwerts gehen"
"Move Left", "Nach Links gehen"
"Move Right", "Nach Rechts gehen"
"Use", "Benutzen"
"Flare", "Aufflackern"
"Battle Royale Starts In", "Battle Royale beginnt in"
"to Exit Plane", "um Flugzeug zu verlassen"
"to Disarm Bomb", "um die Bombe zu entschärfen"
"to Launch Missile", "um die Rakete zu starten"
"Zoom Map", "Karte zoomen"
"to Cancel", "um abbrechen"
"Jet", "Jet"
"Inventory", "Inventar"
"Rocket", "Rakete"
"Machine Gun", "Maschinengewehr"
"Afterburner", "Nachbrenner"
"20% off during Steam Summer Sale (Ends July 5th)", "20% Rabatt bei Steam Summer Sale (endet am 5. Juli)"
"Fist", "Faust"
"Health", "Gesundheit"
"Using", "Verwenden"
"Kills Elo", "Kills Elo"
"Games Elo", "Spiel Elo"
"Jet Rocket", "Jet-Rakete"
"Jet Homing", "Jet-Zielsuchrakete"
"Jet Machinegun", "Jet-Maschinengewehr"
"to Pickup", "um aufzuheben"
"REMAGEN", "REMAGEN"
"Small Health", "Kleines Gesundheitspaket"
"Medium Health", "Mittlere Gesundheitspaket"
"Large Health", "Großes Gesundheitspaket"
"Blood Bag", "Blutbeutel"
"Pills", "Pillen"
"Energy Can", "Energy Dose"
"Needle", "Nadel"
"Leg Light Armor", "Leichte Beinrüstung"
"Medium Leg Armor", "Mittlere Beinrüstung"
"Heavy Leg Armor", "Schwere Beinrüstung"
"Light Vest", "Leichte Weste"
"Medium Vest", "Mittlere Weste"
"Heavy Vest", "Schwere Weste"
"Light Helmet", "Leichter Helm"
"Medium Helmet", "Mittlerer Helm"
"Heavy Helmet", "Schwerer Helm"
"Light Backpack", "Kleiner Rucksack"
"Medium Backpack", "Mittlerer Rucksack"
"Heavy Backpack", "Schwerer Rucksack"
"100 Round Mag", "100x Magazin"
"40 Round Mag", "40x Magazin"
"50 Round Mag", "50x Magazin"
"Fast Load Mag", "Schnelllade Magazin"
"Scope", "Zielfernrohr"
"Compensator", "Kompensator"
"Flash Reducer", "Blitzreduzierer"
"Grip", "Griff"
"Silencer", "Schalldämpfer"
"Stock", "Stock"
"Laser", "Laser"
"Airhorn", "Lufthorn"
"Walkie Talkie", "Walkie-Talkie"
"Flare Gun", "Leuchtpistole"
"Teddy Bear", "Teddybär"
"Walkie Talkie 2", "Walkie-Talkie 2"
"Walkie Talkie 3", "Walkie-Talkie 3"
"Dynamite Stick", "Dynamit Stock"
"Dynamite Bundle", "Dynamitbündel"
"Binoculars", "Fernglas"
"Duct Tape", "Klebeband"
"Tape", "Klebeband"
"Books", "Bücher"
"Book", "Buch"
"Magazines", "Zeitschriften"
"Magazines 2", "Zeitschriften 2"
"Bear Trap", "Bärenfalle"
"C4", "C4"
"Claymore", "Claymore"
"Gas Bottle", "Gasflasche"
"Gas Bottle 2", "Gasflasche 2"
"Jar", "Krug"
"Water Bottle", "Wasserflasche"
"Water Container", "Wasserbehälter"
"Mouse Trap", "Mausefalle"
"Pills 2", "Pillen 2"
"Mouse: Fire, Zoom", "Maus: Feuer, Zoom"
"Draw Everything", "Zeichne alles"
"Item Use Cancelled", "Die Verwendung des Artikels wurde abgebrochen"
"You already have a better one!", "Du hast schon einen besseren!"
"press ENTER or SHIFT", "Drücke die Eingabetaste oder die Umschalttaste"
"DISARM BOMBS!", "BOMBEN ENTSCHÄRFEN!"
"LAUNCH MISSILES!", "RAKETENSTART!"
"STOP ENEMY!", "DEN FEIND STOPPEN!"
"SURVIVAL", "SURVIVAL"
"DELIVER PACKAGE!", "PAKET LIEFERN!"
"GET PACKAGE!", "PAKET HOLEN!"
"DEFEND PACKAGE!", "PAKET VERTEIDIGEN!"
"STOP PACKAGE!", "PAKET STOPPEN!"
"Waiting on players", "Auf Spieler warten"
"Hold", "Halt"
"for large map", "für große Karte"
"Remain", "Bleiben übrig"
"You Win!", "Du gewinnst!"
"Click on map to parachute in on that spot", "Klicke auf die Karte, um an dieser Stelle mit dem Fallschirm zu springen"
"Heavy", "Schwer"
"Scope 2x", "Zielfernrohr 2x"
"Scope 4x", "Zielfernrohr 4x"
"Scope 6x", "Zielfernrohr 6x"
"Sniper Scope", "Scharfschützen Zielfernrohr"
"Chickens don't really win anything but the honor of being in your stomach.", "Hühner gewinnen nicht wirklich etwas außer der Ehre, in deinem Bauch zu sein."
"Due to budget cuts, full chicken dinners are no longer available.  Here is a chicken nugget.", "Aufgrund von Budgetkürzungen sind keine kompletten Hähnchenessen mehr verfügbar. Hier ist ein Chicken Nugget."
"Congratulations! In an effort to decrease waste, War Brokers has awarded you a slightly used chicken dinner.", "Herzliche Glückwünsche! Um die Verschwendung zu verringern, hat War Brokers dir ein leicht angegessenes Hühnchen-Abendessen verliehen."
"You know even I amaze myself sometimes.", "Du weißt, dass selbst ich mich manchmal verblüffen kann."
"Wow!  You just survived all of that!", "Beeindruckend! Du hast das alles überlebt!"
"Can you hear me now?", "Kannst du mich jetzt hören?"
"Winner - It's your lucky day!", "Gewinner - Es ist dein Glückstag!"
"Nice Win! Next time will be harder.", "Netter Gewinn! Das nächste Mal wird härter sein."
"Cheating detected.  Account banned.... Just kidding.", "Cheating entdeckt. Konto gesperrt .... Nur ein Scherz."
"Winner Winner Sausage Dinner!", "Gewinner Gewinner Wurstdinner!"
"Wow, we've never seen anyone win in that particular way, in that particular spot, against those particular enemies, under those particular conditions before!", "Wow, wir haben noch nie jemanden gesehen, der auf diese bestimmte Art und Weise an diesen speziellen Punkten gegen diese besonderen Feinde unter diesen besonderen Bedingungen gewonnen hat!"
"You've won! Tip: Keep doing that.", "Du hast gewonnen! Tipp: Weiter so."
"Winner Winner losers for dinner!", "Winner Winner losers for dinner!"
"You Wrecked them!", "Du hast sie ruiniert!"
"Next time, don't forget the bubblegum!", "Nächstes Mal, vergiss den Kaugummi nicht!"
"You've won a haiku.  I'm terrible at haikus.  So, here goes nothing... Wait...", "Du hast ein Haiku gewonnen. Ich bin schrecklich im Haikus. Also, hier geht nichts ... Warte ..."
"Congratulations, you've won these very words!", "Herzlichen Glückwunsch, du hast diese wertvollen Worte gewonnen!"
"I'm sorry, we don't serve poultry here.  Only justice.", "Es tut mir leid, wir servieren hier kein Geflügel. Nur Gerechtigkeit."
"Studies have shown that your chances of losing are still 99.99999%.", "Studien haben gezeigt, dass deine Chancen zu verlieren immer noch 99,99999% sind."
"Please proceed to the nuclear plant for your cake.", "Bitte besuche das nächste AKW für deinen Kuchen."
"There is a party for you at Joja's Pizza.  Everyone still alive will be there!", "Bei Joja's Pizza gibt es eine Party für dich. Alle, die noch am Leben sind, werden dort sein!"
"Winner winner vulture dinner!  (Please note vulture stomachs may contain prior enemies...)", "Winner winner Geier dinner! (Bitte beachte, dass Geiermägen frühere Feinde enthalten können ...)"
"Winner!  We are required to inform you that your chicken dinner may contain lead bullets.", "Gewinner! Wir müssen dich darüber informieren, dass dein Hühnchenessen Bleikugeln enthalten kann."
"Congratulations!  Please do your part and clean the area of all shell casings.  Thank you.", "Herzlichen Glückwünsch! Bitte erledige deinen Teil und reinige den Bereich von allen Patronenhülsen. Vielen Dank."
"Fun Fact: You didn't lose!", "Fun Fact: Du hast nicht verloren!"
"Please remember to remove your Kelvar BEFORE your dinner!", "Bitte denke daran, deinen Kelvaranzug vor dem Abendessen auszuziehen!"
"Haikus are the worst, and you deserve something more.  However, you lost.", "Haikus sind die schlimmsten, und du verdienst etwas mehr. Du hast jedoch verloren."
"Your consciousness is now being uploaded to the nearest crash test dummy unit...", "Dein Bewusstsein wird jetzt in die nächstgelegene Crashtest-Dummy-Einheit hochgeladen ..."
"The cake was a lie.", "Der Kuchen war eine Lüge."
"All these games are lost. Like tears, in rain.", "Alle diese Spiele sind verloren. Wie Tränen im Regen."
"We regret to inform you that our previous message on using your dead enemies as floatation devices in case of emergency was, in fact, not true.  We apologize for the misinformation.", "Wir bedauern es dir mitteilen zu müssen, dass unsere vorherige Nachricht, dass du deine toten Feinde im Notfall als Dünger benutzen kannst, in Wirklichkeit nicht wahr ist. Wir entschuldigen uns für diese Fehlinformation."
"This is going on your permanent record.", "Dies geht auf Ihre dauerhafte Aufzeichnung."
"For every action there is an equal and opposite reaction... like your body.", "Für jede Handlung gibt es eine gleiche und entgegengesetzte Reaktion ... wie dein Körper."
"Tip: Don't die next time!", "Tipp: Stirb nicht das nächste Mal!"
"You have war broke my heart.", "You have war broke my heart."
"Tip: When hiding from a nearby enemy, attempt to not die.", "Tipp: Wenn du dich vor einem nahestehenden Feind versteckst, versuche nicht zu sterben."
"You've won a participation trophy.  Congratulations!", "Du hast eine Teilnahmetrophäe gewonnen. Herzlichen Glückwünsch!"
"Due to budget cuts on words, only winners receive complete", "Aufgrund von Budgetkürzungen werden nur die Gewinner vollständig erfasst"
"Research has shown that dying will not result in winning the game.", "Die Forschung hat gezeigt, dass Sterben nicht zum Gewinn des Spiels führt."
"Please do not toss your headphones across the room in frustration. --WB Team", "Bitte wirf deine Kopfhörer nicht frustriert gegen die Wand. --WB Team"
"'Pick yourself up.  Dust yourself off.  Start all over again.' --Fred Astaire, 1926", "'Reiss dich zusammen. Staub abschütteln. Das ganze nochmal von vorne.' - Fred Astaire, 1926"
"Your death has resulted in the immediate loss of your opportunity to win.", "Dein Tod hat zum sofortigen Verlust deiner Gewinnchancen geführt."
